ticker,date,open,high,low,close
BTC,11/24/2023,37319.4,38428.2,37256,37711.9
BTC,11/25/2023,37711.9,37909.6,37610.8,37747.3
BTC,11/26/2023,37746,37835.8,37170,37667.6
BTC,11/27/2023,37667.6,37667.6,36716.2,37084
BTC,11/28/2023,37084,38396.6,36871.7,37883.1
BTC,11/29/2023,37884.9,38467.7,37584.3,37795.2
BTC,11/30/2023,37795.2,38150.8,37510.5,37700.1
BTC,12/1/2023,37705.6,38996.9,37611.1,38719.3
BTC,12/2/2023,38719.3,39732.7,38660.5,39367.1
BTC,12/3/2023,39373,40223.8,39294.1,40075.1
BTC,12/4/2023,40077.2,42419.1,39793.9,41952.7
BTC,12/5/2023,41941.6,44493.1,41416.5,44290.7
BTC,12/6/2023,44290.7,44295.3,43390.8,43771.6
BTC,12/7/2023,43761.1,44046.4,42870.4,43151.1
BTC,12/8/2023,43151.1,44716.5,43093.8,44263.5
BTC,12/9/2023,44278.1,44369.1,43734.9,43911.6
BTC,12/10/2023,43903.4,44053.7,43605.9,43784.8
BTC,12/11/2023,43779.1,43848.2,40188,41267.3
BTC,12/12/2023,41267.3,42090.8,40645.8,41211.6
BTC,12/13/2023,41211.6,43448.9,40563.1,42972.3
BTC,12/14/2023,42972.3,43424.7,41784.8,43077.9
BTC,12/15/2023,43077.9,43187.5,41656.4,42064.9
BTC,12/16/2023,42064.9,42689.1,41625.1,42277
BTC,12/17/2023,42277,42373.1,41532.4,41674.9
BTC,12/18/2023,41674.9,42744.6,40515.1,42498.4
BTC,12/19/2023,42498.4,43465.1,41797.4,42312
BTC,12/20/2023,42312.1,44282.1,42192.1,43613.4
BTC,12/21/2023,43610.8,44245.8,43290.5,43957.3
BTC,12/22/2023,43957.8,44411.2,43423,43834.6
BTC,12/23/2023,43834.6,44084.3,43330.1,43767.7
BTC,12/24/2023,43767.7,43963.3,42704.4,43005.7
BTC,12/25/2023,43007.5,43806.9,42755.6,43689.8
BTC,12/26/2023,43689.8,43689.8,41703.7,42465.8
BTC,12/27/2023,42465.8,43698.8,42103.1,43350.7
BTC,12/28/2023,43356.1,43815.2,42273.6,42644.4
BTC,12/29/2023,42647.1,43129.7,41306.9,41769.4
BTC,12/30/2023,41769.4,42603.9,41521.8,42131.5
BTC,12/31/2023,42125.3,42881,41981.6,42247.3
BTC,1/1/2024,42250.7,43836.1,42053.8,43538.2
BTC,1/2/2024,43538.2,45919.1,43538.2,44998.4
BTC,1/3/2024,44998.6,45510.9,40823.8,42765.5
BTC,1/4/2024,42766.4,44791.8,42607.7,44370.8
BTC,1/5/2024,44370.8,44407.1,42530.8,44002.2
BTC,1/6/2024,44006.7,44343,43436.7,43904.9
BTC,1/7/2024,43904.9,44498.8,43726.7,43898.1
BTC,1/8/2024,43890.9,47261.7,43201.1,47041.8
BTC,1/9/2024,47041.8,47636.2,45198.3,46275.4
BTC,1/10/2024,46266.3,46958.7,44331.1,46914.4
BTC,1/11/2024,46914.4,48976.3,45596.8,46402.8
BTC,1/12/2024,46402.8,46520.5,41717.1,42481.9
BTC,1/13/2024,42464.6,43247.9,42426.4,42980.3
BTC,1/14/2024,42980.3,43068.5,41974.4,42250.7
BTC,1/15/2024,42250.8,43360.9,41688,42576.8
BTC,1/16/2024,42588.9,43573.6,42058.2,43199.1
BTC,1/17/2024,43199.1,43277.8,42162.8,42679.4
BTC,1/18/2024,42679.4,42877,40597.9,41312.9
BTC,1/19/2024,41303.6,42148.6,40259.3,41645.8
BTC,1/20/2024,41645.8,41830.5,41418.6,41747.3
BTC,1/21/2024,41747.3,41855,41503.4,41607.2
BTC,1/22/2024,41607.2,41658.8,39415.3,39794.8
BTC,1/23/2024,39793.1,40137,38514,39434
BTC,1/24/2024,39453.3,40519.7,39437.3,39854.9
BTC,1/25/2024,39854.9,40274,39523.9,39934.7
BTC,1/26/2024,39934.7,42231.4,39801.8,41897.5
BTC,1/27/2024,41897.5,42197.5,41390.6,42155.1
BTC,1/28/2024,42155,42828.7,41617.9,41827.3
BTC,1/29/2024,41833.5,43290.9,41746.9,43111.1
BTC,1/30/2024,43110.2,43861.3,43078.1,43326.9
BTC,1/31/2024,43324,43736.8,42287.4,42632.2
BTC,2/1/2024,42632.2,43271.3,41851.4,42914.7
BTC,2/2/2024,42914.7,43453.6,42522.1,43179.7
BTC,2/3/2024,43179.7,43354.9,42864.1,43016.5
BTC,2/4/2024,43016.7,43100.5,42299.6,42553.3
BTC,2/5/2024,42553.3,43521.8,42236.1,42449.1
BTC,2/6/2024,42449,43361.3,42406.5,43186.1
BTC,2/7/2024,43186.2,44388.9,42757.2,44151.9
BTC,2/8/2024,44151.9,45616.6,44143.9,45280.6
BTC,2/9/2024,45283.4,48206.4,45246.2,47300
BTC,2/10/2024,47300,48170.9,46834.2,47839.8
BTC,2/11/2024,47839.8,48606.7,47577.8,48149.9
BTC,2/12/2024,48150.3,50347.5,47713.9,50043.1
BTC,2/13/2024,50043.1,50391.8,48311.1,49540.8
BTC,2/14/2024,49540.9,52034.4,49251.7,51840.6
BTC,2/15/2024,51843.1,52843.6,51364.3,51689.3
BTC,2/16/2024,51685.7,52599.4,51601.5,52017.9
BTC,2/17/2024,52017.9,52246.6,50645.3,51721.9
BTC,2/18/2024,51721.9,52382.2,51188.9,52245.5
BTC,2/19/2024,52245.6,52496.1,51685.7,51948.9
BTC,2/20/2024,51948.9,52985.8,50765.1,52178.6
BTC,2/21/2024,52178.6,52528.3,50640.5,51511.1
BTC,2/22/2024,51499.7,52049.6,50913.3,51439.5
BTC,2/23/2024,51422.7,51516.6,50643.5,50780.9
BTC,2/24/2024,50780.9,51683.8,50521.3,51556.1
BTC,2/25/2024,51556.1,51951.3,51281.4,51699.4
BTC,2/26/2024,51699.4,54952,50907.1,54695.3
BTC,2/27/2024,54695.3,57564.2,54477.5,56915.7
BTC,2/28/2024,56915.7,64078.1,56725.3,61317.8
BTC,2/29/2024,61317.8,63683.8,60362.5,61260.1
BTC,3/1/2024,61260.1,63183,60797.7,62538.3
BTC,3/2/2024,62538.2,62767.9,61674.8,61745.5
BTC,3/3/2024,61745.5,63257.1,61431.9,62847.2
BTC,3/4/2024,62855.7,68003.8,62397.8,68003.8
BTC,3/5/2024,68003.8,68992.1,60331.6,63419.7
BTC,3/6/2024,63469.8,67642.2,62832.5,65949.5
BTC,3/7/2024,65949.5,68054.8,65593.6,67198.1
BTC,3/8/2024,67198.1,69982,66303.7,68290.8
BTC,3/9/2024,68283.1,68693.9,68030.8,68498.3
BTC,3/10/2024,68497.6,70026,68218.2,68498.7
BTC,3/11/2024,68515.3,72858.2,67623.4,72455.6
BTC,3/12/2024,72455.6,72812.7,69082.3,71167
BTC,3/13/2024,71167,73672.6,71041.1,72987.6
BTC,3/14/2024,72988.3,73532.1,68668.9,71514.2
BTC,3/15/2024,71503.5,72390,65619.8,69110.5
BTC,3/16/2024,69110.5,70045.1,65756.6,66336
BTC,3/17/2024,66318.6,68862.1,64499.7,68201.1
BTC,3/18/2024,68204,68907.5,66562,67687.9
BTC,3/19/2024,67688,68105.2,62418.1,62578.9
BTC,3/20/2024,62578.8,67914.9,60770.4,67488.6
BTC,3/21/2024,67064.4,67667.9,64520.8,65377.2
BTC,3/22/2024,65368.9,66635.8,62307.5,63045.9
BTC,3/23/2024,63035.9,66001,62998.9,64751.5
BTC,3/24/2024,64747.9,67000,63794.1,66947.2
BTC,3/25/2024,66947.2,71177.6,66386.7,70314.3
BTC,3/26/2024,70324.5,71580.3,69295,70249.9
BTC,3/27/2024,70249.9,71755.9,68369.8,69415.1
BTC,3/28/2024,69415.1,71562.8,68852,70862.9
BTC,3/29/2024,70862.9,71073.2,69100.6,69841.5
BTC,3/30/2024,69841.5,70354.8,69665.8,69748.1
BTC,3/31/2024,69748.1,71218.7,69567.1,70864.5
BTC,4/1/2024,70864.5,71371,68180.5,69612.4
BTC,4/2/2024,69619.8,69900.4,64570.6,65709.4
BTC,4/3/2024,65708.8,66931.5,64544.9,65937.8
BTC,4/4/2024,65949.1,69334,65078.2,67804.2
BTC,4/5/2024,67806.3,68768.3,65984.3,67539
BTC,4/6/2024,67526.3,68497.1,67483.6,68316.7
BTC,4/7/2024,68316.7,70320.9,68303.4,69037.5
BTC,4/8/2024,69037.5,72757.3,68907.9,71687.7
BTC,4/9/2024,71684.9,71993.5,68208.4,69182.7
BTC,4/10/2024,69182.7,70135.3,67483.2,70014.9
BTC,4/11/2024,70014.9,71287,69556.1,70120.3
BTC,4/12/2024,70120.3,71236.7,65550,66979.4
BTC,4/13/2024,66975.4,67939.6,61006,62983
BTC,4/14/2024,62973.1,65638,62172.3,63706.3
BTC,4/15/2024,63701.2,66906,62308.1,63273.7
BTC,4/16/2024,63273.7,64349.2,61637,64030.3
BTC,4/17/2024,64019.9,64501.9,59677.6,61294.1
BTC,4/18/2024,61294.2,64151.5,60816.2,63496.6
BTC,4/19/2024,63488.8,65486.4,59607.4,64327.6
BTC,4/20/2024,64419.6,65438.6,62979.7,64745.4
BTC,4/21/2024,64745.4,65723.8,64251.6,64667
BTC,4/22/2024,64667,66849,64518.9,66546.2
BTC,4/23/2024,66546.2,67251.8,65821.2,66350
BTC,4/24/2024,66356.7,67073.1,63555.2,64340.7
BTC,4/25/2024,64333.5,65237,62755.7,64673.3
BTC,4/26/2024,64672.5,64813.5,63302.6,64085.6
BTC,4/27/2024,64053.6,64053.6,62432.1,63232.6
BTC,4/28/2024,63232.6,64357.1,63198.4,63623.8
BTC,4/29/2024,63620.7,63721.1,61834.1,63092.2
BTC,4/30/2024,63086.6,64710.7,59113.6,60101.2
BTC,5/1/2024,60098.9,60984.2,56509.6,57822.2
BTC,5/2/2024,57822.2,59623.6,56867.2,59115.6
BTC,5/3/2024,59112.6,63230.8,58817.2,62753.8
BTC,5/4/2024,62775,64542.2,62577.1,63908.6
BTC,5/5/2024,63913.5,64619.6,62858.2,63876.1
BTC,5/6/2024,63876.1,65500,62699.2,63551.6
BTC,5/7/2024,63542.9,64408.4,62792.5,63072.1
BTC,5/8/2024,63081.5,63122.3,61376.1,61466.9
BTC,5/9/2024,61466.9,62809.4,60605.1,62533.3
BTC,5/10/2024,62543.7,63457,60170,60691.7
BTC,5/11/2024,60691.8,61468.4,60461.4,60906.6
BTC,5/12/2024,60906.1,61851.3,60595.4,61209.7
BTC,5/13/2024,61223.7,63437.3,60731.8,62893.1
BTC,5/14/2024,62894.8,63106.4,61117.3,61672.4
BTC,5/15/2024,61672.4,66452.5,61295,65895.4
BTC,5/16/2024,65912.9,66744.2,64607.5,65467.9
BTC,5/17/2024,65467.9,67473.8,65109.6,66846.6
BTC,5/18/2024,66833.4,67394.3,66627,66910.7
BTC,5/19/2024,66910.7,67698.4,65875.3,66275.4
BTC,5/20/2024,66278.5,70285.7,66060.3,69722
BTC,5/21/2024,69744.3,71983.3,69148.6,69709.6
BTC,5/22/2024,69702.1,70645.5,68913.2,69468.6
BTC,5/23/2024,69468.6,70059.7,66493.9,67946.5
BTC,5/24/2024,67956.4,69235.3,66593.3,68867.7
BTC,5/25/2024,68867.7,69587.1,68482.9,69124.5
BTC,5/26/2024,69125.2,69510.8,68168.4,68498.8
BTC,5/27/2024,68498.8,70616.2,68205.2,69733.8
BTC,5/28/2024,69733.8,69733.8,67193.9,68314.3
BTC,5/29/2024,68301.9,68853.4,67093.5,67626
BTC,5/30/2024,67611.8,69472.9,67095.7,68392.8
BTC,5/31/2024,68392.8,69000.6,66627.1,67484.5
BTC,6/1/2024,67484.5,67814.1,67170.6,67699.7
BTC,6/2/2024,67699.7,68404.5,67243,67780.2
BTC,6/3/2024,67774,70266.4,67572.6,69069.4
BTC,6/4/2024,69069.4,71059.3,68546.8,70620
BTC,6/5/2024,70620,71767.3,70378,71145.5
BTC,6/6/2024,71145.5,71630.6,70096,70717.9
BTC,6/7/2024,70717.9,71924.3,68758.1,69251.9
BTC,6/8/2024,69224.4,69550.2,69148.2,69397.3
BTC,6/9/2024,69396.6,69849,69122.6,69739.5
BTC,6/10/2024,69739.5,70165.3,69152.2,69566.3
BTC,6/11/2024,69566.7,69572.5,66022,67382.5
BTC,6/12/2024,67390.7,70005.3,66898.3,68513.4
BTC,6/13/2024,68513.4,68517.4,66299.1,66943.2
BTC,6/14/2024,66943.2,67325.5,65032.8,66159.8
BTC,6/15/2024,66149.7,66434.8,65822.6,66089.2
BTC,6/16/2024,66089.2,66745,65997.7,66471.8
BTC,6/17/2024,66471.8,67247.9,65074.6,66541.3
BTC,6/18/2024,66550.2,66684.9,64039.9,65184.1
BTC,6/19/2024,65202.1,65712.4,64640.1,64978.4
BTC,6/20/2024,64978.4,66455,64511.8,65004.3
BTC,6/21/2024,65004.3,65100.6,63390.1,64044.7
BTC,6/22/2024,64044.7,64507.9,63913.8,64304.3
BTC,6/23/2024,64304.3,64493.3,63496.6,63800.6
BTC,6/24/2024,63794.2,63794.2,58495.2,60056.1
BTC,6/25/2024,60075.4,62381.7,59941.4,61905.4
BTC,6/26/2024,61908.8,62468.4,60678.9,61006.1
BTC,6/27/2024,61006.1,62326.8,60561.6,61453.6
BTC,6/28/2024,61453.6,62149.8,59959.9,60245.9
BTC,6/29/2024,60243.6,61126,60173.9,60941.2
BTC,6/30/2024,60941.2,62314.4,60612,61853.4
BTC,7/1/2024,61843.4,63790.9,61843.4,63072.4
BTC,7/2/2024,63059.9,63216.1,61729.6,61858.9
BTC,7/3/2024,61858.9,62190,59342.6,60180.7
BTC,7/4/2024,60176,60431,56729,58460.7
BTC,7/5/2024,58460.2,58731.4,53734.1,56524.5
BTC,7/6/2024,56522.1,58265.4,56023,57869.8
BTC,7/7/2024,57869.7,58476.4,56205.5,56589.8
BTC,7/8/2024,56587.8,57904.4,54276,56654.8
BTC,7/9/2024,56637.4,58257.4,56283.6,57798.8
BTC,7/10/2024,57806.8,59433.9,57149.8,57429.8
BTC,7/11/2024,57424.4,59473.8,57084.3,57458.3
BTC,7/12/2024,57458.3,58542.5,56542.5,57612.9
BTC,7/13/2024,57608,58971.9,57590.9,58696.6
BTC,7/14/2024,58693.3,61428.6,58298.1,61299
BTC,7/15/2024,61333.1,63855.9,60664.2,63564.2
BTC,7/16/2024,63564.2,65213.7,62400.1,64516.1
BTC,7/17/2024,64516.1,66140.2,63867.4,64323.8
BTC,7/18/2024,64323.8,65111.2,63232.8,63837.2
BTC,7/19/2024,63837.2,67412.3,63288,66920.4
BTC,7/20/2024,66920.4,67611.6,66261,67120.6
BTC,7/21/2024,67121.2,68298,65812,68207.6
BTC,7/22/2024,68207.6,68476.6,66566.7,67862
BTC,7/23/2024,67872.4,67875.2,65461.6,65879.9
BTC,7/24/2024,65879.9,67110.7,65132.4,65627
BTC,7/25/2024,65655.8,65980.9,63436.1,65818.9
BTC,7/26/2024,65820.9,68198.6,65610.3,67946
BTC,7/27/2024,67945.3,69406.9,66673.3,68857.9
BTC,7/28/2024,68857.9,68860.9,67065.3,68015.8
